protein_ids,symbol,log2FoldChange,baseMean,padj,GO_id,GO_term
g7972.t1,g7972,0.683681942559128,961.257277601673,2.29365425664143e-14,GO:0022857,transmembrane transporter activity
g13311.t1,g13311,0.683130580313439,4403.73329073933,2.66449951164603e-11,GO:0036211,protein modification process
g13311.t1,g13311,0.683130580313439,4403.73329073933,2.66449951164603e-11,GO:0008641,ubiquitin-like modifier activating enzyme activity
g13311.t2,g13311,0.683130580313439,4403.73329073933,2.66449951164603e-11,GO:0036211,protein modification process
g13311.t2,g13311,0.683130580313439,4403.73329073933,2.66449951164603e-11,GO:0008641,ubiquitin-like modifier activating enzyme activity
g11744.t1,g11744,0.682995704367525,1321.2079745806,1.47494791233035e-12,GO:0051056,regulation of small GTPase mediated signal transduction
g11744.t1,g11744,0.682995704367525,1321.2079745806,1.47494791233035e-12,GO:0043547,positive regulation of GTPase activity
g11744.t1,g11744,0.682995704367525,1321.2079745806,1.47494791233035e-12,GO:0005096,GTPase activator activity
g13460.t1,g13460,0.682905044180642,1769.94745802138,8.615211117056619e-12,nan,
g10254.t1,g10254,0.682605592748464,5386.42819718112,4.79936875020714e-05,GO:0005515,protein binding
g10925.t1,g10925,0.682553776720701,157.691333764591,0.0184570155973905,nan,
g2009.t1,g2009,0.682357318785844,910.863524881223,3.67189286466762e-10,GO:0031011,Ino80 complex
g2009.t1,g2009,0.682357318785844,910.863524881223,3.67189286466762e-10,GO:0006338,chromatin remodeling
g1580.t1,g1580,0.681768986610298,1012.82833817281,5.6332703579884e-08,GO:0004751,ribose-5-phosphate isomerase activity
g1580.t1,g1580,0.681768986610298,1012.82833817281,5.6332703579884e-08,GO:0009052,"pentose-phosphate shunt, non-oxidative branch"
g7815.t1,g7815,0.681731205456617,6246.6204514209,0.000486470194373,nan,
g4567.t1,g4567,0.681503126349213,3165.29247077642,1.13489550317235e-05,nan,
g1673.t1,g1673,0.680694919939813,299.966783199099,1.19290934810522e-06,nan,
g1735.t1,g1735,0.680650315704202,288.915949339342,2.38934419558608e-05,GO:0006865,amino acid transport
g1735.t1,g1735,0.680650315704202,288.915949339342,2.38934419558608e-05,GO:0016020,membrane
g1735.t1,g1735,0.680650315704202,288.915949339342,2.38934419558608e-05,GO:0055085,transmembrane transport
g8516.t1,g8516,0.680569689693662,1260.71212223784,2.55616968163077e-07,GO:0016757,glycosyltransferase activity
g2070.t2,g2070,0.679861489214139,8935.41472627099,8.15733446844596e-09,nan,
g2070.t1,g2070,0.679861489214139,8935.41472627099,8.15733446844596e-09,nan,
g6132.t1,g6132,0.678465029096161,852.463457620575,0.29087410196173,nan,
g11337.t1,g11337,0.677534478680106,815.905433883122,0.144804033277736,GO:0000166,nucleotide binding
g4749.t1,g4749,0.677231649669601,792.692420315742,5.2265145190276705e-09,GO:0004806,triacylglycerol lipase activity
g4749.t1,g4749,0.677231649669601,792.692420315742,5.2265145190276705e-09,GO:0006629,lipid metabolic process
g538.t1,g538,0.676533965057369,5966.21607389057,1.38148271677826e-09,GO:0003677,DNA binding
g538.t1,g538,0.676533965057369,5966.21607389057,1.38148271677826e-09,GO:0006352,DNA-templated transcription initiation
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0006418,tRNA aminoacylation for protein translation
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0004812,aminoacyl-tRNA ligase activity
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0005737,cytoplasm
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0000166,nucleotide binding
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0006422,aspartyl-tRNA aminoacylation
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0005524,ATP binding
g411.t1,g411,0.675322968056767,4650.40131572941,5.23037839446232e-10,GO:0004815,aspartate-tRNA ligase activity
g9276.t2,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0005975,carbohydrate metabolic process
g9276.t2,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0004396,hexokinase activity
g9276.t2,g9276,0.675120658953753,1082.71394780298,5.73490948105242e-06,GO:0001678,intracellular glucose homeostasis
